Date,numVisit,From,To,Description
2008/1/18,2,United Kingdom,China,Hu Jintao was in Beijing Municipality and met with the following: • Gordon Brown (British Prime Minister)
2008/1/18,2,North Korea,China,Hu Jintao was in Beijing Municipality and met with the following: • Geun-hye Park (envoy of President-elect Lee Myung-bak of the Republic of Korea)
2008/1/24,1,Kazakhstan,China,Hu Jintao was in Beijing Municipality and met with the following: • Kasymzhomart Tokaev (Chairman of the Senate of Kazakhstan)
2008/2/26,1,United States,China,Hu Jintao was in Beijing Municipality and met with the following: • Condoleezza Rice (U.S. Secretary of State)
2008/2/28,1,Nigeria,China,Hu Jintao was in Beijing Municipality and met with the following: • Umaru Yar'Adua (Predisent of Nigeria)
2008/3/7,1,United States,China,Hu Jintao was in Beijing Municipality and met with the following: • George H. Bush (Former U.S. President)
2008/3/19,1,Peru,China,Hu Jintao was in Beijing Municipality and met with the following: • Alan Garcia (President of Peru)
2008/3/25,1,Malawi,China,Hu Jintao was in Beijing Municipality and met with the following: • Bingu wa Mutharika (Malawian President)
2008/3/31,1,United Arab Emirates,China,Hu Jintao was in Beijing Municipality and met with the following: • Bin Rashid Al Maktoum Sheikh Mohammed (UAE Vice-President and Prime Minister)
2008/4/2,1,United States,China,Hu Jintao was in Beijing Municipality and met with the following: • Henry M. Paulson (U.S. Treasury Secretary)
2008/4/10,1,Sri Lanka,China,"Hu Jintao travelled to Hainan Province, Sanya City and met with the following: • Mahinda Rajapakse (President of Sri Lanka)"
2008/4/11,2,Tanzania,China,"Hu Jintao travelled to Hainan Province, Sanya City and met with the following: • Jakaya Mrisho Kikwete (Tanzanian President)"
2008/4/11,2,Pakistan,China,"Hu Jintao travelled to Hainan Province, Sanya City and met with the following: • Pervez Musharraf (President of Pakistan)"
2008/4/12,3,Sweden,China,"Hu Jintao travelled to Hainan Province, Boao and met with the following: • Fredrik Reinfeldt (Swedish Prime Minister) • Michelle Jeria Bachelet (Chilean President) • Taufa'ahau Tupou V (King of Tonga)"
2008/4/12,3,Chile,China,"Hu Jintao travelled to Hainan Province, Boao and met with the following: • Fredrik Reinfeldt (Swedish Prime Minister) • Michelle Jeria Bachelet (Chilean President) • Taufa'ahau Tupou V (King of Tonga)"
2008/4/12,3,Tonga,China,"Hu Jintao travelled to Hainan Province, Boao and met with the following: • Fredrik Reinfeldt (Swedish Prime Minister) • Michelle Jeria Bachelet (Chilean President) • Taufa'ahau Tupou V (King of Tonga)"
2008/4/17,1,Japan,China,Hu Jintao was in Beijing Municipality and met with the following: • Bunmei Ibuki (Secretary-General of Japan's Liberal Democratic Party) • Kazuo Kitagawa (Secretary-General of Japan's Komei Party)
2008/4/24,1,France,China,Hu Jintao was in Beijing Municipality and met with the following: • Christian Poncelet (French Senate President)
2008/4/29,1,Japan,China,Hu Jintao was in Beijing Municipality and met with the following: • Yasuhiro Nakasone (Former Japanese Prime Minister)
2008/5/7,1,China,Japan,"Hu Jintao travelled to Japan, Tokyo and met with the following: • Yasuo Fukuda (Prime Minister of Japan) • Akihito (Emperor of Japan)"
2008/5/8,1,China,Japan,"Hu Jintao travelled to Japan, Tokyo and met with the following: • Yasuo Fukuda (Prime Minister of Japan)"
2008/5/9,1,China,Japan,Hu Jintao travelled to Japan and met with the following: • Shigefumi Matsuzawa (Kanagawa Prefecture Governor) • Hiroshi Nakada (Mayor of Yokohama) • Toru Hashimoto (Osaka Prefecture Governor)
2008/5/23,1,Russia,China,Hu Jintao was in Beijing Municipality and met with the following: • Dmitry Medvedev (President of Russia)
2008/5/27,1,Republic of Korea,China,Hu Jintao was in Beijing Municipality and met with the following: • Myung-bak Lee (President of the Republic of Korea)
2008/5/30,1,Vietnam,China,Hu Jintao was in Beijing Municipality and met with the following: • Duc Manh Nong (General Secretary of the Central Committee of the Communist Party of Vietnam)
2008/6/12,1,South Africa,China,Hu Jintao was in Beijing Municipality and met with the following: • Jacob Zuma (Leader of the African National Congress of South Africa)
2008/6/23,1,Greece,China,Hu Jintao was in Beijing Municipality and met with the following: • Karolos Papoulias (President of Greece)
2008/6/30,1,United States,China,Hu Jintao was in Beijing Municipality and met with the following: • Condoleezza Rice (U.S. Secretary of State)
2008/7/7,1,China,Japan,"Hu Jintao travelled to Japan, Sapporo "
2008/7/8,4,China,Japan,"Hu Jintao travelled to Japan, Sapporo and met with the following: • Manmohan Singh (Indian Prime Minister)"
2008/7/8,4,China,Japan,"Hu Jintao travelled to Japan, Sapporo and met with the following: • Felipe Calderon (Mexican President)"
2008/7/8,4,China,Japan,"Hu Jintao travelled to Japan, Sapporo and met with the following: • Luis Inacio da Silva Lula (Brazilian President)"
2008/7/8,4,China,Japan,"Hu Jintao travelled to Japan, Sapporo and met with the following: • Thabo Mvuyelwa Mbeki (South African President)"
